neighborhood,sqft_living,area_unit,lot_size_sqft,bedrooms,bathrooms,floors,year_built,renovated,condition,grade,garage,basement,pool,school_score,sale_price
Riverside Park,82.4,sqm,1543.0,1,1.0,3.0,1936.0,No,2,3,Y,,N,8.0,$112.7K
Sunridge,1424.0,sqft,4835.0,2,1.5,1.0,1945.0,Yes,4,10,Y,N,N,7.0,$143.4K
Cedar Falls,1895.0,sqft,3749.0,4,2.5,2.0,1932.0,No,3,4,Y,N,N,5.0,$190.3K
Riverside Park,113.7,sqm,3407.0,2,1.5,2.0,1984.0,No,3,5,Y,N,N,6.0,223800.0
Maple Grove,1739.0,sqft,5981.0,3,2.0,2.0,1972.0,Yes,2,9,Y,Y,N,5.0,290900.0
Maple Grove,555.0,sqft,1997.0,2,2.0,2.0,1989.0,No,5,3,N,N,N,7.0,$66.1K
Old Mill District,2364.0,sqft,6312.0,4,2.5,2.5,1921.0,No,4,4,N,Y,N,5.0,512300.0
Maple Grove,2867.0,sqft,4649.0,4,3.0,1.0,1985.0,Yes,3,4,Y,N,N,3.0,366400.0
Riverside Park,1746.0,sqft,2379.0,2,2.0,1.0,1989.0,No,3,7,N,N,N,5.0,$247.7K
Maple Grove,1516.0,sqft,2264.0,2,1.5,2.0,1960.0,Yes,2,4,Y,N,N,6.0,$172.3K
Cedar Falls,1973.0,sqft,7791.0,4,3.5,2.0,1993.0,No,4,5,N,N,N,,246900.0
Northgate,2897.0,sqft,11462.0,5,4.5,2.0,1986.0,Yes,1,5,N,N,N,6.0,$221.0K
Harbor Point,1442.0,sqft,4968.0,3,2.5,1.0,1928.0,No,1,5,Y,N,N,5.0,277900.0
Brookhaven,1450.0,sqft,4264.0,2,1.5,2.0,1947.0,Yes,3,8,N,N,N,2.0,270000.0
Harbor Point,1648.0,sqft,3245.0,2,1.0,1.0,1981.0,Yes,4,6,N,Y,N,6.0,502300.0
Maple Grove,725.0,sqft,1666.0,1,1.5,1.0,1930.0,Yes,3,5,Y,N,N,,92100.0
Sunridge,1627.0,sqft,6038.0,1,1.0,3.0,1976.0,No,4,4,Y,Y,N,8.0,177400.0
Sunridge,197.2,sqm,7255.0,3,2.5,2.0,2018.0,No,4,10,N,N,N,7.0,290300.0
Maple Grove,1690.0,sqft,2197.0,1,1.0,1.0,1973.0,Yes,2,10,Y,Y,Y,4.0,$282.2K
Riverside Park,1258.0,sqft,2573.0,2,2.0,1.0,1950.0,No,1,3,Y,N,N,7.0,164100.0
Cedar Falls,500.0,sqft,1271.0,1,1.5,1.0,1953.0,No,1,6,Y,,Y,6.0,$66.3K
Riverside Park,220.5,sqm,3584.0,2,2.0,2.0,1943.0,No,1,7,N,N,N,5.0,$276.2K
Sunridge,3181.0,sqft,12587.0,6,4.0,1.0,1967.0,No,4,5,Y,Y,Y,7.0,$302.7K
Cedar Falls,94.6,sqm,3239.0,3,3.0,2.5,1935.0,Yes,2,7,Y,Y,N,4.0,$120.8K
Sunridge,172.5,sqm,6894.0,3,2.0,2.0,1980.0,Yes,2,6,Y,N,N,6.0,$219.0K
Sunridge,1875.0,sqft,5456.0,2,1.5,2.0,1975.0,No,4,8,N,Y,N,6.0,179700.0
Northgate,2052.0,sqft,4731.0,3,2.5,3.0,1929.0,Yes,2,10,N,Y,N,3.0,$160.4K
Maple Grove,2639.0,sqft,8569.0,4,4.0,1.0,2000.0,No,4,10,Y,Y,N,5.0,$509.4K
Northgate,1935.0,sqft,4051.0,5,4.0,1.5,2012.0,No,5,7,Y,Y,N,6.0,207400.0
Riverside Park,2283.0,sqft,4296.0,3,2.0,2.5,1955.0,Yes,2,5,Y,N,N,7.0,320400.0
Harbor Point,576.0,sqft,1098.0,1,1.0,2.5,1971.0,No,5,7,N,Y,N,8.0,$151.4K
Northgate,121.5,sqm,3555.0,2,1.5,1.0,1931.0,No,4,9,Y,,N,6.0,$105.5K
Riverside Park,1703.0,sqft,2522.0,3,1.5,1.0,1932.0,No,3,4,Y,N,N,4.0,$226.2K
Cedar Falls,1643.0,sqft,6296.0,3,2.0,2.0,1949.0,No,3,6,Y,Y,N,7.0,219200.0
Old Mill District,1101.0,sqft,2101.0,2,2.0,3.0,1977.0,Yes,4,3,Y,N,N,1.0,247100.0
Riverside Park,199.1,sqm,8095.0,3,2.0,1.0,1925.0,No,4,9,N,Y,N,4.0,$298.3K
Old Mill District,1367.0,sqft,3394.0,2,1.5,2.0,1949.0,No,5,8,N,N,N,3.0,275300.0
Old Mill District,1999.0,sqft,6194.0,3,2.5,1.5,1950.0,No,5,10,Y,N,N,9.0,551300.0
Northgate,2348.0,sqft,6163.0,4,3.5,2.0,1978.0,Yes,3,6,Y,Y,N,5.0,$236.9K
Riverside Park,258.9,sqm,9416.0,3,1.5,2.0,1937.0,Yes,2,4,Y,N,N,7.0,433000.0
Sunridge,1873.0,sqft,5527.0,4,3.5,1.5,1983.0,No,1,7,N,N,N,7.0,$195.2K
Riverside Park,2304.0,sqft,6843.0,3,2.0,3.0,2019.0,No,5,10,N,N,N,10.0,$419.6K
Harbor Point,1926.0,sqft,5471.0,3,3.0,2.5,1950.0,No,2,5,Y,N,N,6.0,$434.6K
Brookhaven,814.0,sqft,1415.0,1,1.5,2.0,2011.0,No,2,10,Y,N,N,6.0,$176.1K
Sunridge,1670.0,sqft,4586.0,3,2.5,2.0,1938.0,No,5,3,Y,N,N,8.0,$159.8K
Sunridge,2187.0,sqft,4788.0,4,2.5,2.5,2017.0,No,4,6,N,N,N,6.0,$240.7K
Old Mill District,1207.0,sqft,1626.0,2,1.0,2.0,1975.0,Yes,4,8,Y,Y,N,4.0,301600.0
Maple Grove,1742.0,sqft,5689.0,3,2.5,2.0,1976.0,No,3,9,Y,Y,N,7.0,$277.1K
Brookhaven,1969.0,sqft,7823.0,3,2.0,1.5,2005.0,No,5,10,N,Y,N,5.0,430500.0
Northgate,1290.0,sqft,4540.0,3,2.0,1.0,2016.0,No,3,7,Y,N,N,5.0,$131.1K
Cedar Falls,2405.0,sqft,7442.0,4,3.0,1.0,1952.0,No,4,9,N,N,N,6.0,$295.2K
Cedar Falls,1051.0,sqft,3260.0,3,1.5,1.0,1930.0,Yes,2,6,N,Y,N,4.0,$142.0K
Riverside Park,1729.0,sqft,6575.0,1,1.0,1.0,1941.0,No,2,4,N,N,N,7.0,$208.6K
Maple Grove,1475.0,sqft,4152.0,3,2.0,3.0,1953.0,No,5,6,Y,Y,N,,$204.5K
Maple Grove,1199.0,sqft,2642.0,2,2.0,2.0,2010.0,No,5,8,Y,N,N,5.0,196600.0
Riverside Park,2353.0,sqft,5317.0,5,3.5,2.0,2020.0,No,4,6,N,,N,7.0,474400.0
Harbor Point,1606.0,sqft,6081.0,2,1.5,1.0,2018.0,No,4,3,N,N,N,7.0,471500.0
Brookhaven,1834.0,sqft,4116.0,3,2.5,1.0,1965.0,No,3,9,N,N,N,4.0,287400.0
Brookhaven,2249.0,sqft,5732.0,3,1.0,2.0,1930.0,No,3,4,Y,N,N,7.0,383300.0
Riverside Park,2094.0,sqft,5231.0,4,2.5,2.0,1931.0,No,1,6,Y,N,N,6.0,$302.0K
Sunridge,2025.0,sqft,7016.0,4,3.0,2.0,2018.0,No,4,5,Y,Y,N,4.0,$282.2K
Riverside Park,2445.0,sqft,9115.0,4,3.5,2.5,2014.0,Yes,4,3,Y,N,N,5.0,$451.9K
Cedar Falls,2410.0,sqft,4169.0,4,2.5,1.0,2020.0,No,4,7,N,N,N,,356500.0
Maple Grove,2039.0,sqft,7995.0,4,1.5,2.0,2009.0,No,3,6,Y,Y,N,4.0,301600.0
Old Mill District,633.0,sqft,2488.0,1,1.0,3.0,1936.0,No,3,7,Y,Y,N,,141600.0
Brookhaven,2183.0,sqft,7513.0,5,3.0,3.0,,Yes,3,5,Y,N,N,6.0,$376.1K
Cedar Falls,1257.0,sqft,3038.0,2,2.0,1.0,1987.0,No,2,9,Y,N,N,5.0,$122.5K
Brookhaven,1417.0,sqft,1965.0,1,1.5,2.0,1983.0,No,3,3,N,N,Y,,279800.0
Riverside Park,3344.0,sqft,9921.0,6,4.5,2.0,1986.0,No,3,7,N,N,N,4.0,449800.0
Riverside Park,2581.0,sqft,,3,2.0,1.0,1978.0,No,2,3,Y,Y,N,6.0,420300.0
Maple Grove,957.0,sqft,1543.0,2,1.0,1.0,1957.0,No,4,4,Y,N,N,7.0,106600.0
Brookhaven,251.9,sqm,4591.0,4,3.0,1.0,2014.0,No,3,9,Y,Y,N,2.0,497500.0
Old Mill District,1645.0,sqft,5968.0,2,1.0,2.5,1971.0,No,4,5,Y,Y,N,7.0,416500.0
Riverside Park,1092.0,sqft,1642.0,1,1.0,2.5,2000.0,No,5,10,Y,Y,N,8.0,$215.0K
Sunridge,2107.0,sqft,3679.0,3,2.0,1.5,1950.0,No,4,8,Y,N,N,5.0,187600.0
Cedar Falls,115.0,sqm,2443.0,1,1.0,1.5,2022.0,No,4,6,N,Y,N,4.0,176600.0
Northgate,243.7,sqm,6958.0,4,2.5,1.5,1924.0,No,3,4,Y,Y,N,3.0,183600.0
Cedar Falls,2144.0,sqft,4994.0,3,3.0,2.0,,Yes,3,9,Y,Y,N,7.0,282900.0
Harbor Point,156.5,sqm,3223.0,3,2.0,1.5,1947.0,Yes,4,8,Y,Y,N,7.0,510700.0
Riverside Park,500.0,sqft,918.0,1,1.5,1.0,1930.0,No,2,7,N,N,N,8.0,68100.0
Brookhaven,500.0,sqft,800.0,1,1.0,2.0,2005.0,No,3,9,N,Y,N,5.0,$103.9K
Maple Grove,65.6,sqm,2274.0,1,2.0,1.5,1956.0,No,5,8,Y,Y,N,7.0,$93.2K
Riverside Park,2142.0,sqft,7189.0,2,2.0,2.0,2011.0,No,1,6,Y,N,N,5.0,398300.0
Cedar Falls,1758.0,sqft,6761.0,2,1.0,2.5,1943.0,No,3,8,Y,N,N,3.0,193900.0
Brookhaven,500.0,sqft,1344.0,2,1.5,2.0,1986.0,Yes,5,9,Y,N,N,4.0,109600.0
Maple Grove,2244.0,sqft,4023.0,4,2.5,1.0,1926.0,Yes,2,10,N,N,N,,282300.0
Northgate,1514.0,sqft,3283.0,2,1.5,2.0,1994.0,Yes,2,9,N,Y,N,5.0,141000.0
Cedar Falls,2430.0,sqft,7603.0,3,2.0,2.0,1945.0,No,4,5,Y,N,N,4.0,239900.0
Maple Grove,1756.0,sqft,2533.0,3,2.0,2.0,1966.0,Yes,4,6,N,N,N,8.0,$251.7K
Sunridge,1121.0,sqft,3660.0,2,1.5,2.0,1973.0,No,3,10,N,N,N,8.0,$98.0K
Old Mill District,646.0,sqft,833.0,1,1.0,3.0,2000.0,No,4,4,Y,Y,N,3.0,162700.0
Old Mill District,2474.0,sqft,9887.0,3,2.5,1.0,1990.0,No,5,5,N,N,N,2.0,$578.3K
Harbor Point,2287.0,sqft,5560.0,4,2.5,3.0,2006.0,No,3,3,Y,N,N,6.0,631000.0
Old Mill District,1468.0,sqft,2284.0,3,1.5,1.5,1925.0,No,4,4,Y,Y,N,6.0,$289.9K
Northgate,1740.0,sqft,6223.0,3,1.5,1.5,1980.0,No,2,6,N,Y,N,7.0,$149.2K
Maple Grove,1484.0,sqft,4792.0,2,1.0,2.0,1978.0,No,3,5,Y,Y,N,5.0,$209.3K
Cedar Falls,1979.0,sqft,6866.0,3,3.0,2.0,1983.0,No,3,4,Y,N,N,5.0,222900.0
Brookhaven,2241.0,sqft,,4,2.5,1.0,2010.0,No,5,9,N,N,Y,1.0,538900.0
Harbor Point,152.6,sqm,5374.0,2,2.0,2.5,1979.0,No,3,7,N,N,N,7.0,$366.8K
Old Mill District,2690.0,sqft,4849.0,5,3.5,2.5,2001.0,No,5,4,Y,N,N,5.0,555400.0
Old Mill District,3150.0,sqft,10428.0,5,3.0,2.5,1927.0,No,4,3,N,N,N,6.0,$553.4K
Riverside Park,1372.0,sqft,1828.0,2,1.5,1.5,1991.0,No,3,6,Y,N,N,7.0,$193.0K
Old Mill District,1960.0,sqft,6798.0,3,2.0,2.0,1967.0,Yes,3,9,Y,Y,N,7.0,535800.0
Old Mill District,2104.0,sqft,7164.0,3,2.0,3.0,1996.0,No,3,3,Y,Y,N,6.0,474500.0
Brookhaven,3005.0,sqft,7601.0,5,4.5,1.0,1969.0,No,2,7,N,N,N,6.0,523900.0
Riverside Park,2217.0,sqft,7970.0,4,3.0,3.0,1943.0,Yes,1,4,Y,Y,N,8.0,$312.2K
Riverside Park,287.5,sqm,7756.0,4,2.5,2.0,1956.0,Yes,5,6,Y,N,N,10.0,551700.0
Old Mill District,673.0,sqft,2146.0,1,1.0,1.0,1974.0,No,3,4,Y,N,Y,7.0,$168.8K
Maple Grove,1679.0,sqft,2169.0,2,1.0,1.5,1944.0,No,3,5,Y,Y,N,6.0,219300.0
Old Mill District,1545.0,sqft,3214.0,3,2.5,2.5,1969.0,No,4,10,N,Y,N,3.0,392800.0
Old Mill District,2351.0,sqft,7891.0,3,3.0,2.5,1988.0,Yes,3,10,Y,Y,N,7.0,679000.0
Riverside Park,1989.0,sqft,4759.0,3,2.5,1.5,1968.0,No,2,5,Y,N,N,8.0,311800.0
Riverside Park,1330.0,sqft,2125.0,2,2.0,2.5,2020.0,No,3,4,Y,N,N,5.0,214800.0
Northgate,1932.0,sqft,3717.0,3,2.0,3.0,1947.0,Yes,3,10,Y,N,N,5.0,146900.0
Old Mill District,2261.0,sqft,8552.0,4,4.5,3.0,2010.0,No,3,5,Y,Y,N,7.0,631500.0
Old Mill District,2241.0,sqft,6791.0,5,4.0,1.0,2003.0,No,5,10,Y,Y,N,7.0,$705.4K
Sunridge,1962.0,sqft,3436.0,3,2.5,1.5,1946.0,Yes,3,10,Y,N,N,5.0,178200.0
Maple Grove,1567.0,sqft,4944.0,3,3.0,1.0,1966.0,Yes,4,7,Y,N,N,6.0,213000.0
Sunridge,2002.0,sqft,5520.0,3,3.5,2.0,2010.0,No,2,10,Y,Y,N,6.0,$241.2K
Old Mill District,2649.0,sqft,8431.0,3,2.5,1.0,1992.0,No,1,3,Y,N,N,6.0,$653.3K
Brookhaven,2065.0,sqft,4970.0,4,3.5,3.0,1953.0,Yes,3,3,Y,Y,N,6.0,314400.0
Cedar Falls,1141.0,sqft,2657.0,2,1.5,3.0,1954.0,Yes,4,4,Y,N,N,8.0,$146.3K
Cedar Falls,309.4,sqm,9289.0,4,3.0,1.0,2010.0,No,3,3,Y,N,N,5.0,$435.6K
Harbor Point,500.0,sqft,1367.0,1,1.0,2.0,1922.0,No,2,7,N,Y,N,6.0,118900.0
Maple Grove,3302.0,sqft,8783.0,5,4.5,1.0,1963.0,Yes,3,3,N,N,N,8.0,$402.4K
Cedar Falls,1828.0,sqft,2435.0,3,3.5,1.0,1954.0,Yes,4,8,N,Y,Y,7.0,$237.1K
Sunridge,2337.0,sqft,6707.0,4,3.0,2.5,1932.0,No,3,7,Y,Y,N,9.0,$203.5K
Sunridge,3495.0,sqft,5243.0,6,4.5,1.0,2008.0,No,2,10,N,Y,N,2.0,379800.0
Old Mill District,1672.0,sqft,5369.0,2,1.0,2.0,,No,4,4,Y,N,N,,360800.0
Harbor Point,1096.0,sqft,1465.0,2,1.0,2.0,1955.0,No,4,8,N,N,N,4.0,$211.5K
Northgate,1501.0,sqft,2181.0,3,1.5,2.0,2010.0,No,4,10,Y,Y,N,3.0,$145.3K
Sunridge,1915.0,sqft,3333.0,4,2.5,2.0,2022.0,No,3,4,N,Y,N,4.0,$184.9K
Northgate,1895.0,sqft,5044.0,2,2.0,2.5,2016.0,No,1,8,N,N,N,5.0,186400.0
Harbor Point,1908.0,sqft,4760.0,3,1.5,1.0,1993.0,No,2,4,Y,N,N,5.0,$566.2K
Old Mill District,1568.0,sqft,5891.0,3,2.0,2.0,2014.0,No,4,7,Y,N,N,6.0,$432.5K
Harbor Point,1919.0,sqft,4650.0,4,3.0,3.0,1966.0,Yes,3,4,Y,N,N,2.0,443100.0
Cedar Falls,2505.0,sqft,3223.0,5,4.0,2.0,1947.0,No,4,5,Y,Y,N,7.0,290100.0
Riverside Park,2783.0,sqft,7588.0,3,2.0,2.5,2016.0,No,1,3,N,Y,N,6.0,$462.2K
Cedar Falls,2202.0,sqft,7375.0,3,2.0,1.0,1966.0,Yes,5,6,Y,N,N,7.0,$291.6K
Brookhaven,1533.0,sqft,2458.0,4,2.0,2.0,1925.0,No,4,5,Y,N,N,2.0,244800.0
Northgate,1879.0,sqft,7303.0,4,3.5,2.0,2013.0,No,4,5,Y,Y,N,9.0,209200.0
Old Mill District,1319.0,sqft,3297.0,3,3.0,1.0,1994.0,No,4,8,N,Y,N,9.0,367900.0
Brookhaven,2155.0,sqft,7497.0,2,1.0,3.0,2023.0,No,4,7,Y,N,N,6.0,$553.4K
Brookhaven,1722.0,sqft,2404.0,2,1.0,2.0,1978.0,No,3,6,Y,N,N,5.0,$364.7K
Sunridge,1987.0,sqft,5626.0,3,3.0,1.0,2008.0,No,3,6,N,Y,N,8.0,$251.8K
Sunridge,2281.0,sqft,7136.0,4,3.0,2.5,1978.0,No,5,8,Y,Y,N,10.0,$241.2K
Brookhaven,121.9,sqm,3422.0,2,1.5,2.0,2009.0,No,4,5,Y,Y,N,5.0,$287.9K
Old Mill District,1837.0,sqft,3741.0,3,3.0,1.0,1981.0,Yes,3,6,Y,N,N,7.0,528700.0
Riverside Park,884.0,sqft,1522.0,1,1.0,1.0,2001.0,No,4,3,N,N,N,8.0,153200.0
Brookhaven,1289.0,sqft,1909.0,1,1.0,3.0,1972.0,No,4,6,N,Y,N,6.0,251800.0
Harbor Point,1893.0,sqft,3648.0,3,3.0,1.0,1987.0,No,3,5,Y,,N,4.0,483200.0
Cedar Falls,1089.0,sqft,4320.0,3,2.0,2.0,2008.0,No,4,5,N,N,Y,,$157.0K
Sunridge,234.9,sqm,4208.0,4,3.5,1.0,1996.0,Yes,4,7,Y,Y,N,7.0,$329.2K
Old Mill District,798.0,sqft,2608.0,2,1.0,2.5,1974.0,Yes,3,8,Y,N,N,6.0,$201.5K
Sunridge,1548.0,sqft,3734.0,2,2.5,1.0,1924.0,No,3,7,N,Y,N,5.0,$124.7K
Brookhaven,1339.0,sqft,4084.0,3,2.5,1.5,1991.0,Yes,2,7,Y,Y,N,4.0,$268.6K
Northgate,2030.0,sqft,3854.0,3,2.0,1.0,,No,3,7,Y,Y,N,7.0,$190.5K
Brookhaven,212.6,sqm,3440.0,4,3.0,3.0,1979.0,No,5,7,Y,N,N,4.0,$449.0K
Old Mill District,244.0,sqm,5941.0,4,3.5,1.0,1935.0,No,4,7,Y,N,N,8.0,$553.3K
Harbor Point,2008.0,sqft,6395.0,4,3.0,1.0,1932.0,Yes,4,8,Y,N,N,4.0,$439.8K
Harbor Point,206.3,sqm,5599.0,3,1.5,1.0,2011.0,Yes,5,9,N,Y,N,7.0,839000.0
Cedar Falls,1848.0,sqft,3012.0,3,2.5,3.0,2002.0,No,2,7,Y,Y,N,5.0,$244.1K
Brookhaven,119.7,sqm,2703.0,2,1.0,1.0,1946.0,No,4,5,N,N,N,7.0,196200.0
Cedar Falls,500.0,sqft,989.0,2,2.5,1.0,1997.0,Yes,3,4,Y,N,N,5.0,75000.0
Brookhaven,1647.0,sqft,2945.0,3,3.0,2.5,1969.0,No,3,5,Y,N,N,9.0,348200.0
Harbor Point,1764.0,sqft,5880.0,4,3.0,2.0,2000.0,No,3,10,Y,Y,N,2.0,$471.9K
Riverside Park,289.7,sqm,9000.0,5,4.0,1.0,1947.0,Yes,3,4,Y,N,Y,,$528.7K
Northgate,1927.0,sqft,4726.0,2,1.5,3.0,2002.0,No,2,4,Y,N,N,5.0,$174.4K
Cedar Falls,210.5,sqm,4270.0,3,3.5,1.5,1982.0,No,2,4,Y,Y,N,7.0,346400.0
Harbor Point,143.9,sqm,4508.0,3,2.0,1.0,1943.0,No,4,3,N,Y,N,,364200.0
Cedar Falls,520.0,sqft,2028.0,2,1.5,1.0,2015.0,No,3,4,N,Y,N,6.0,73400.0
Cedar Falls,2082.0,sqft,3586.0,3,2.5,1.0,1959.0,No,3,8,Y,Y,N,,$248.5K
Maple Grove,2775.0,sqft,4809.0,4,2.5,1.0,1954.0,No,5,3,N,Y,Y,8.0,390200.0
Riverside Park,1661.0,sqft,3744.0,3,2.5,3.0,1927.0,No,4,3,N,N,N,,201900.0
Maple Grove,1546.0,sqft,3291.0,3,2.0,3.0,1932.0,Yes,5,3,Y,N,N,5.0,$204.3K
Northgate,1113.0,sqft,4410.0,1,2.0,3.0,1969.0,Yes,5,8,Y,Y,N,7.0,$114.4K
Brookhaven,245.3,sqm,8542.0,5,4.0,1.0,1926.0,Yes,1,4,Y,N,N,7.0,$478.1K
Sunridge,1822.0,sqft,6893.0,2,1.5,3.0,2008.0,Yes,2,6,Y,Y,N,8.0,247200.0
Maple Grove,1334.0,sqft,1649.0,2,1.5,1.0,1997.0,No,4,5,Y,N,N,7.0,$195.6K
Harbor Point,3586.0,sqft,9507.0,5,3.5,1.0,1966.0,Yes,3,10,Y,N,N,5.0,$929.8K
Old Mill District,2484.0,sqft,9097.0,4,2.0,2.0,1955.0,Yes,3,8,N,,N,7.0,$631.2K
Brookhaven,1379.0,sqft,3496.0,1,1.0,1.0,2021.0,No,2,9,N,N,N,8.0,303800.0
Riverside Park,2567.0,sqft,3836.0,4,3.0,1.0,1975.0,Yes,2,9,Y,Y,N,8.0,503500.0
Harbor Point,3302.0,sqft,8464.0,6,4.5,2.0,2009.0,Yes,5,6,Y,Y,N,4.0,$1144.4K
Riverside Park,1151.0,sqft,4389.0,1,1.0,2.0,1982.0,Yes,2,4,Y,Y,N,6.0,213000.0
Harbor Point,972.0,sqft,3471.0,2,2.0,2.0,1980.0,No,3,4,Y,Y,N,4.0,246000.0
Northgate,2897.0,sqft,10142.0,5,2.5,2.0,1974.0,No,4,4,N,Y,Y,3.0,$229.4K
Sunridge,1351.0,sqft,3741.0,3,2.5,2.0,2009.0,No,4,5,Y,Y,N,4.0,$146.5K
Brookhaven,1471.0,sqft,5287.0,3,2.0,1.5,2012.0,Yes,5,7,N,Y,N,7.0,$377.4K
Riverside Park,1561.0,sqft,6001.0,3,2.0,1.0,1961.0,No,1,8,N,N,Y,3.0,232000.0
Sunridge,2034.0,sqft,7607.0,3,2.0,2.0,2006.0,No,3,8,Y,Y,N,6.0,$253.6K
Brookhaven,1623.0,sqft,2208.0,4,3.5,1.0,1948.0,No,2,8,Y,Y,N,7.0,310500.0
Northgate,1446.0,sqft,4010.0,2,1.5,1.0,2022.0,No,3,9,Y,,N,5.0,160100.0
Cedar Falls,851.0,sqft,2669.0,1,1.0,1.0,1936.0,No,5,10,N,Y,N,9.0,$99.7K
Harbor Point,1524.0,sqft,4473.0,2,1.0,3.0,1998.0,No,3,9,Y,N,N,3.0,411600.0
Sunridge,1386.0,sqft,4400.0,1,1.0,2.0,1940.0,No,4,8,Y,N,N,6.0,99900.0
Sunridge,105.1,sqm,3758.0,2,2.0,1.5,2004.0,No,1,7,Y,N,N,7.0,$130.9K
Harbor Point,2365.0,sqft,9380.0,4,3.0,2.0,2015.0,No,3,7,N,N,N,10.0,763900.0
Harbor Point,1636.0,sqft,5800.0,3,2.0,1.0,1931.0,No,2,8,N,Y,N,6.0,347900.0
Harbor Point,1916.0,sqft,3507.0,2,1.0,2.0,2021.0,No,5,10,N,N,N,5.0,660100.0
Sunridge,500.0,sqft,1320.0,1,1.0,3.0,2016.0,No,5,5,N,N,N,6.0,$55.0K
Maple Grove,1229.0,sqft,2583.0,2,2.0,1.0,1995.0,Yes,4,8,N,Y,N,7.0,$182.2K
Harbor Point,2141.0,sqft,7388.0,3,2.5,1.0,2001.0,Yes,5,7,N,N,N,7.0,674400.0
Maple Grove,1377.0,sqft,1667.0,2,1.0,1.0,1946.0,No,3,4,Y,N,N,6.0,$176.0K
Old Mill District,2459.0,sqft,4861.0,4,2.5,2.0,2020.0,No,5,4,Y,Y,N,8.0,$667.9K
Harbor Point,100.2,sqm,3778.0,1,1.0,2.0,1987.0,Yes,4,5,Y,Y,N,4.0,$314.9K
Maple Grove,1076.0,sqft,2222.0,2,2.0,1.0,1950.0,Yes,3,8,Y,Y,N,6.0,$158.3K
Northgate,3185.0,sqft,4968.0,5,4.0,1.5,2007.0,No,3,7,N,N,N,9.0,$319.8K
Brookhaven,1478.0,sqft,3789.0,3,2.5,1.0,1937.0,No,4,5,Y,,N,7.0,$244.8K
